route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
2,1,2,Unutrašnji Krug - Spoljašnji Krug,0,FF0000,FFFFFF
5,1,5,Kalemegdan /Donji Grad/ - Ustanička,0,FF0000,FFFFFF
6,1,6,Tašmajdan - Ustanička,0,FF0000,FFFFFF
7,1,7,Ustanička - Blok 45,0,FF0000,FFFFFF
9,1,9,Banjica - Blok 45,0,FF0000,FFFFFF
10,1,10,Kalemegdan /Donji Grad/ - Banjica ,0,FF0000,FFFFFF
11,1,11,Kalemegdan /Donji Grad/ - Blok 45,0,FF0000,FFFFFF
12,1,12,Omladinski Stadion - Banovo Brdo,0,FF0000,FFFFFF
14,1,14,Ustanička - Banjica,0,FF0000,FFFFFF
15,1,15,Zeleni Venac - Zemun /Novi Grad/,3,0000FF,FFFFFF
16,1,16,Karaburma 2 - Novi Beograd /Paviljoni/,3,0000FF,FFFFFF
17,1,17,Konjarnik - Zemun /Gornji Grad/,3,0000FF,FFFFFF
18,1,18,Medaković 3 - Zemun /Bačka/,3,0000FF,FFFFFF
20,1,20,Mirijevo 3 - Veliki Mokri Lug,3,0000FF,FFFFFF
23,1,23,Karaburma 2 - Vidikovac,3,0000FF,FFFFFF
24,1,24,Dorćol /Src Milan Gale Muškatirović/ - Neimar,702,008000,FFFFFF
25,1,25,Karaburma 2 - Kumodraž 2,3,0000FF,FFFFFF
26,1,26,Dorćol /Dunavska/ - Naselje Braće Jerković,3,0000FF,FFFFFF
27,1,27,Trg Republike - Mirijevo 3,3,0000FF,FFFFFF
28,1,28,Studentski Trg - Zvezdara,800,FF8106,FFFFFF
30,1,30,Birčaninova - Medaković 2,3,0000FF,FFFFFF
31,1,31,Studentski Trg - Konjarnik,3,0000FF,FFFFFF
32,1,32,Vukov Spomenik - Višnjica,3,0000FF,FFFFFF
33,1,33,Žs Pančevački Most - Kumodraž,3,0000FF,FFFFFF
34,1,34,Topčidersko Brdo (Senjak) - Pere Velimirovića,702,008000,FFFFFF
35,1,35,Novi Beograd (Blok 20) - Lešće /Groblje/,3,0000FF,FFFFFF
36,1,36,Žst Bgd (Centar) - Žst Bgd (Centar),3,0000FF,FFFFFF
37,1,37,Železnička Stanica Pančevački Most - Kneževac,3,0000FF,FFFFFF
38,1,38,Šumice  Pogon Kosmaj - Veliki Mokri Lug,3,0000FF,FFFFFF
39,1,39,Birčaninova - Kumodraž 1,3,0000FF,FFFFFF
40,1,40,Zvezdara - Banjica 2,800,FF8106,FFFFFF
41,1,41,Studentski Trg - Banjica 2,800,FF8106,FFFFFF
42,1,42,Birčaninova - Petlovo Brdo,3,0000FF,FFFFFF
43,1,43,Trg Republike - Kotež,3,0000FF,FFFFFF
44,1,44,Topčidersko Brdo /Senjak/ - Železnička Stanica Dunav,3,0000FF,FFFFFF
45,1,45,Blok 44 - Zemun /Novi Grad/,3,0000FF,FFFFFF
46,1,46,Beograd Na Vodi - Mirijevo,3,0000FF,FFFFFF
47,1,47,Birčaninova - Železnička Stanica Resnik,3,0000FF,FFFFFF
48,1,48,Železnička Stanica Pančevački Most - Miljakovac 3,3,0000FF,FFFFFF
49,1,49,Banovo Brdo - Naselje Stepa Stepanović,3,0000FF,FFFFFF
50,1,50,Ustanička - Banovo Brdo,3,0000FF,FFFFFF
51,1,51,Beograd Na Vodi - Bele Vode,3,0000FF,FFFFFF
52,1,52,Zeleni Venac - Cerak Vinogradi,3,0000FF,FFFFFF
53,1,53,Zeleni Venac -  Vidikovac,3,0000FF,FFFFFF
54,1,54,Miljakovac 1 - Mz Makiš,3,0000FF,FFFFFF
55,1,55,Zvezdara - Stari Železnik,3,0000FF,FFFFFF
56,1,56,Zeleni Venac - Petlovo Brdo,3,0000FF,FFFFFF
57,1,57,Banovo Brdo - Banovo Brdo,3,0000FF,FFFFFF
58,1,58,Železnička Stanica Pančevački Most - Novi Železnik,3,0000FF,FFFFFF
59,1,59,Slavija/Birčaninova - Petlovo Brdo,3,0000FF,FFFFFF
60,1,60,Zeleni Venac - Novi Beograd /Toplana/,702,008000,FFFFFF
64,1,64,Zvezdara (Zeleno Brdo) - Šumice,702,008000,FFFFFF
65,1,65,Zvezdara 2 - Novo Bežanijsko Groblje,3,0000FF,FFFFFF
66,1,66,Vukov Spomenik - Naučnotehnološki Park Zvezdar,702,008000,FFFFFF
67,1,67,Zeleni Venac - Novi Beograd /Blok 70a/ ,3,0000FF,FFFFFF
68,1,68,Zeleni Venac - Novi Beograd /Blok 70/ ,3,0000FF,FFFFFF
70,1,70,Bežanijska Kosa - Ikea,3,0000FF,FFFFFF
71,1,71,Zeleni Venac - Bežanija /Ledine/,3,0000FF,FFFFFF
72,1,72,Zeleni Venac - Aerodrom Nikola Tesla,3,0000FF,FFFFFF
73,1,73,Novi Beograd /Blok 45/  - Batajnica /Železnička Stanica/,3,0000FF,FFFFFF
74,1,74,Bežanijska Kosa - Mirijevo 3,3,0000FF,FFFFFF
75,1,75,Zeleni Venac - Bežanijska Kosa,3,0000FF,FFFFFF
76,1,76,Novi Beograd /Blok 70a/  - Bežanijska Kosa/Bolnica/,3,0000FF,FFFFFF
77,1,77,Zvezdara - Bežanijska Kosa/Bolnica/,3,0000FF,FFFFFF
78,1,78,Banjica 2 - Zemun /Novi Grad/ ,3,0000FF,FFFFFF
79,1,79,Dorćol /Src Milan Gale Muškatirović/ - Mirijevo 4 ,3,0000FF,FFFFFF
81,1,81,Novi Beograd/Paviljoni/ - Altina1,3,0000FF,FFFFFF
82,1,82,Novi Beograd  /Paviljoni/ - Blok 44 ,3,0000FF,FFFFFF
83,1,83,Mileševska - Zemun /Bačka/,3,0000FF,FFFFFF
84,1,84,Zeleni Venac - Nova Galenika,3,0000FF,FFFFFF
85,1,85,Banovo Brdo - Borča 3,3,0000FF,FFFFFF
87,1,87,Čukarička  Padina - Čukarička  Padina,3,0000FF,FFFFFF
88,1,88,Ona Kenedija - Novi Železnik,3,0000FF,FFFFFF
89,1,89,Vidikovac - Novi Beograd /Blok 72/ ,3,0000FF,FFFFFF
91,1,91,Beograd Na Vodi - Ostružnica /Novo Naselje/,3,0000FF,FFFFFF
92,1,92,Beograd Na Vodi - Ostružnica /Karaula/,3,0000FF,FFFFFF
94,1,94,Novi Beograd /Blok 45/  - Resnik /Edvarda Griga/,3,0000FF,FFFFFF
95,1,95,Novi Beograd /Blok 45/  - Borča 3,3,0000FF,FFFFFF
96,1,96,Žs Pančevački Most - Borča 3,3,0000FF,FFFFFF
101,1,101,Omladinski Stadion - Padinska Skela,3,0000FF,FFFFFF
102,1,102,Padinska Skela - Vrbovski /Široka Greda/,3,0000FF,FFFFFF
104,1,104,Omladinski Stadion - Crvenka,3,0000FF,FFFFFF
105,1,105,Omladinski Stadion - Ovča /Železnička Stanica/,3,0000FF,FFFFFF
106,1,106,Omladinski Stadion - Jabučki Rit,3,0000FF,FFFFFF
107,1,107,Padinska Skela - Dunavac,3,0000FF,FFFFFF
108,1,108,Omladinski Stadion - Reva /Duboka Bara/,3,0000FF,FFFFFF
