Id,Label,0,1,2,modularity_class
638,Birčaninova(638),Birčaninova,44.800701,20.465475,4
148,Karađorđev Park(148),Karađorđev Park,44.796974,20.465208,4
746,Franše Deperea(746),Franše Deperea,44.792629,20.466419,5
845,Trg Oslobođenja(845),Trg Oslobođenja,44.785069,20.465799,5
847,Veljka Lukića Kurjaka(847),Veljka Lukića Kurjaka,44.779411,20.468548,5
849,Atletska Dvorana(849),Atletska Dvorana,44.77631,20.472645,5
851,Fakultet Organizacionih Nauka(851),Fakultet Organizacionih Nauka,44.770432,20.475939,5
859,Mosorska(859),Mosorska,44.765224,20.477926,5
853,Crkva Sv. Vasilija Ostroškog(853),Crkva Sv. Vasilija Ostroškog,44.762386,20.479235,5
291,Baštovanska(291),Baštovanska,44.756313,20.476883,5
293,Kragujevačkih Đaka(293),Kragujevačkih Đaka,44.754101,20.477547,5
1599,Banjica 2(1599),Banjica 2,44.751759,20.480303,6
1601,Riste Stefanovića(1601),Riste Stefanovića,44.750248,20.479406,6
1603,Voje Radića(1603),Voje Radića,44.746765,20.476988,6
1952,Save Jovanovića(1952),Save Jovanovića,44.742512,20.483334,6
1605,Jajinci /Dom Zdravlja/(1605),Jajinci /Dom Zdravlja/,44.740452,20.48592,6
1607,Milutina Miljkovića(1607),Milutina Miljkovića,44.735264,20.483774,6
1563,Kefalonijska(1563),Kefalonijska,44.73048,20.483215,6
1609,Spomen Park Jajinci(1609),Spomen Park Jajinci,44.727268,20.486334,6
1611,Rakovica Selo (Spomen Česma)(1611),Rakovica Selo (Spomen Česma),44.726582,20.495085,6
1613,Rakovica Selo(1613),Rakovica Selo,44.721649,20.498201,6
1615,Kružni Put(1615),Kružni Put,44.720787,20.503353,6
3889,1000 Ruža(3889),1000 Ruža,44.716549,20.503929,6
1617,Beli Potok /Kumbara/(1617),Beli Potok /Kumbara/,44.710796,20.506063,6
3037,Put Za Beli Potok(3037),Put Za Beli Potok,44.706287,20.508604,0
1619,Pošta(1619),Pošta,44.701176,20.504194,0
1621,Avala(1621),Avala,44.696247,20.501799,0
1623,Mz Pinosava(1623),Mz Pinosava,44.695477,20.493031,0
1625,Oš Vasa Čarapić(1625),Oš Vasa Čarapić,44.695107,20.48922,0
1627,Zadruga(1627),Zadruga,44.696812,20.483906,0
3033,Groblje(3033),Groblje,44.696373,20.478453,0
3034,Donji Kraj(3034),Donji Kraj,44.696293,20.475382,0
3036,Pinosava(3036),Pinosava,44.69582,20.470837,0
464,Mirijevo 3(464),Mirijevo 3,44.793648,20.536673,1
468,Semjuela Beketa(468),Semjuela Beketa,44.790558,20.540529,1
1321,Mihaila Bulgakova(1321),Mihaila Bulgakova,44.787338,20.540485,1
1918,Matice Srpske(1918),Matice Srpske,44.786861,20.535156,1
625,Stojčino Brdo(625),Stojčino Brdo,44.789429,20.530029,1
623,Selište(623),Selište,44.790684,20.527657,1
621,Vitezova Karađorđeve Zvezde(621),Vitezova Karađorđeve Zvezde,44.792572,20.525188,1
619,Ladne Vode(619),Ladne Vode,44.795258,20.523134,1
2267,Bosutska(2267),Bosutska,44.797218,20.52195,1
2282,Nikole Doksata(2282),Nikole Doksata,44.800259,20.52047,1
617,Sime Trojanovića(617),Sime Trojanovića,44.802364,20.519415,1
615,Ćalije(615),Ćalije,44.804943,20.517916,1
613,Astronomska(613),Astronomska,44.80801,20.514191,7
2359,Oštreljska(2359),Oštreljska,44.81065,20.510075,7
611,Triglavska(611),Triglavska,44.811829,20.50687,7
609,Marijane Gregoran(609),Marijane Gregoran,44.813396,20.500563,7
607,Generala Aračića(607),Generala Aračića,44.814003,20.496447,7
550,Omladinski Stadion(550),Omladinski Stadion,44.814053,20.490139,7
77,Vatrogasna Komanda(77),Vatrogasna Komanda,44.812012,20.487823,7
79,Novo Groblje(79),Novo Groblje,44.809864,20.484743,7
551,Dalmatinska(551),Dalmatinska,44.807178,20.480511,4
585,Tehnički Fakulteti(585),Tehnički Fakulteti,44.805275,20.476223,4
583,Pravni Fakultet(583),Pravni Fakultet,44.806976,20.472223,16
535,Glavna Pošta(535),Glavna Pošta,44.810024,20.467106,16
196,Terazije(196),Terazije,44.813381,20.460953,16
603,Trg Republike(603),Trg Republike,44.816757,20.461168,16
3035,Donji Kraj(3035),Donji Kraj,44.69603,20.474901,0
1629,Groblje(1629),Groblje,44.696606,20.478903,0
1628,Zadruga(1628),Zadruga,44.696796,20.483444,0
1626,Oš Vasa Čarapić(1626),Oš Vasa Čarapić,44.694992,20.489576,0
1624,Mz Pinosava(1624),Mz Pinosava,44.695503,20.493847,0
1622,Avala(1622),Avala,44.696667,20.502037,0
1620,Pošta(1620),Pošta,44.701736,20.504852,0
3038,Put Za Beli Potok(3038),Put Za Beli Potok,44.707691,20.508366,0
1618,Beli Potok /Kumbara/(1618),Beli Potok /Kumbara/,44.710804,20.506214,6
3890,1000 Ruža(3890),1000 Ruža,44.716572,20.50411,6
1616,Kružni Put(1616),Kružni Put,44.721081,20.503342,6
1614,Rakovica Selo(1614),Rakovica Selo,44.721706,20.498343,6
1612,Rakovica Selo (Spomen Česma)(1612),Rakovica Selo (Spomen Česma),44.726498,20.494368,6
1610,Spomen Park Jajinci(1610),Spomen Park Jajinci,44.729599,20.484259,6
1608,Milutina Miljkovića(1608),Milutina Miljkovića,44.735222,20.483891,6
1606,Jajinci /Dom Zdravlja/(1606),Jajinci /Dom Zdravlja/,44.740974,20.485519,6
2130,Save Jovanovića(2130),Save Jovanovića,44.742657,20.48316,6
1604,Voje Radića(1604),Voje Radića,44.74638,20.477282,6
1602,Riste Stefanovića(1602),Riste Stefanovića,44.750027,20.480282,6
1600,Banjica 2(1600),Banjica 2,44.752041,20.48024,6
294,Kragujevačkih Đaka(294),Kragujevačkih Đaka,44.75489,20.476995,6
292,Baštovanska(292),Baštovanska,44.757122,20.477179,5
856,Paunova(856),Paunova,44.760944,20.476976,5
854,Crkva Sv. Vasilija Ostroškog(854),Crkva Sv. Vasilija Ostroškog,44.762325,20.479628,5
860,Mosorska(860),Mosorska,44.765675,20.478083,5
852,Fakultet Organizacionih Nauka(852),Fakultet Organizacionih Nauka,44.771347,20.475677,5
850,Atletska Dvorana(850),Atletska Dvorana,44.777611,20.471647,5
848,Veljka Lukića Kurjaka(848),Veljka Lukića Kurjaka,44.780182,20.468349,5
846,Trg Oslobođenja(846),Trg Oslobođenja,44.787064,20.465935,5
639,Franše Deperea(639),Franše Deperea,44.792892,20.466633,5
149,Karađorđev Park(149),Karađorđev Park,44.798344,20.465708,4
147,Trg Slavija /Bulevar Oslobođenja/(147),Trg Slavija /Bulevar Oslobođenja/,44.801437,20.466257,4
703,Pionirski Park(703),Pionirski Park,44.810978,20.46512,16
534,Resavska(534),Resavska,44.809082,20.468134,4
582,Pravni Fakultet(582),Pravni Fakultet,44.806774,20.472061,4
584,Tehnički Fakulteti(584),Tehnički Fakulteti,44.805279,20.475595,4
64,Vukov Spomenik(64),Vukov Spomenik,44.805607,20.478363,4
553,Dalmatinska(553),Dalmatinska,44.806801,20.480246,4
80,Novo Groblje(80),Novo Groblje,44.810883,20.486647,7
78,Vatrogasna Komanda(78),Vatrogasna Komanda,44.812767,20.488932,7
76,Omladinski Stadion(76),Omladinski Stadion,44.814716,20.49118,7
606,Generala Aračića(606),Generala Aračića,44.813828,20.497231,7
608,Marijane Gregoran(608),Marijane Gregoran,44.813385,20.500254,7
610,Triglavska(610),Triglavska,44.811672,20.506952,1
2358,Oštreljska(2358),Oštreljska,44.810814,20.509455,1
612,Astronomska(612),Astronomska,44.808067,20.513939,1
614,Ćalije(614),Ćalije,44.805508,20.517229,1
616,Sime Trojanovića(616),Sime Trojanovića,44.801937,20.519434,1
1081,Nikole Doksata(1081),Nikole Doksata,44.799511,20.520973,1
2266,Bosutska(2266),Bosutska,44.796646,20.521982,1
618,Ladne Vode(618),Ladne Vode,44.794357,20.52351,1
620,Vitezova Karađorđeve Zvezde(620),Vitezova Karađorđeve Zvezde,44.792576,20.524664,1
622,Selište(622),Selište,44.790131,20.527508,1
624,Stojčino Brdo(624),Stojčino Brdo,44.789261,20.530914,1
1917,Matice Srpske(1917),Matice Srpske,44.786514,20.535622,1
1316,Mihaila Bulgakova(1316),Mihaila Bulgakova,44.787292,20.540636,1
469,Semjuela Beketa(469),Semjuela Beketa,44.790646,20.540627,1
465,Mirijevo 3(465),Mirijevo 3,44.793945,20.536879,1
751,Trg Oslobođenja(751),Trg Oslobođenja,44.787045,20.463959,5
753,Stadion Rajko Mitić(753),Stadion Rajko Mitić,44.78418,20.462711,5
756,Narodnog Heroja Milana Tepića(756),Narodnog Heroja Milana Tepića,44.779629,20.458637,5
279,Bolnica Dragiša Mišović(279),Bolnica Dragiša Mišović,44.777748,20.458124,5
281,Paje Adamova(281),Paje Adamova,44.772732,20.462627,5
283,Banjica(283),Banjica,44.769394,20.466068,5
285,Vojnomedicinska Akademija(285),Vojnomedicinska Akademija,44.765644,20.470118,5
287,Plivalište Banjica(287),Plivalište Banjica,44.763058,20.472458,5
857,Pet Solitera(857),Pet Solitera,44.759434,20.472971,5
861,Raška(861),Raška,44.754654,20.468088,5
863,Pere Velimirovića(863),Pere Velimirovića,44.757191,20.459993,5
865,Srpskih Udarnih Brigada(865),Srpskih Udarnih Brigada,44.754028,20.456062,31
