,index,BC_lovain
435,Čukarica(1652),0.00010619995493577256
430,Sajam(495),8.174021480978349e-05
184,Brankov Most(298),6.966019556348948e-05
456,Ada Ciganlija(503),6.717403428641177e-05
163,Pionirski Park(703),6.439790194844594e-05
245,Sava Centar(397),6.131963533395073e-05
177,Zeleni Venac(360),5.833502547989336e-05
439,Sajam(496),5.145672703474931e-05
166,Miloša Pocerca(271),4.924642748841585e-05
396,Bulevar Zorana Đinđića(401),4.8023781052154353e-05
427,Sava Centar(398),4.7659371111541595e-05
447,Čukarica(1653),4.750952029484102e-05
444,Blok 42(1062),4.490415950447876e-05
167,Zeleni Venac(359),4.472414391298782e-05
0,Karađorđev Park(148),4.39335348963046e-05
135,Palilulska Pijaca(61),4.069811953572403e-05
446,Blok 42(1261),3.9914808448425566e-05
244,Mostar(493),3.798718203359547e-05
344,Naselje Petlovo Brdo(1692),3.627070904229798e-05
25,Palilulska Pijaca(743),3.334521241625724e-05
152,Admirala Geprata(268),3.3212876630080104e-05
1,Franše Deperea(746),3.2796894655148314e-05
384,Go Novi Beograd(403),3.079093713158836e-05
345,Naselje Petlovo Brdo(1693),3.078753143120881e-05
442,Kirovljeva(505),3.07875314312088e-05
176,Brankov Most(361),3.077390862969057e-05
436,Ortopedski Zavod(274),3.060021791033309e-05
20,Tehnički Fakulteti(585),3.044014999249384e-05
143,Makedonska(311),2.957388577452185e-05
94,Koste Trifkovića(105),2.9459308283180993e-05
251,Staro Sajmište(1051),2.933670306951689e-05
454,Mostar(494),2.8863310716758246e-05
27,Mačvanska(203),2.8812225211064876e-05
504,Blok 25(772),2.8471655173109022e-05
264,Ekonomski Fakultet(10),2.8199199142744347e-05
4,Trg Slavija /Bulevar Oslobođenja/(147),2.7756458093401736e-05
429,Blok 25(844),2.744994505924148e-05
182,Resavska(534),2.7187706130015475e-05
156,Makedonska(238),2.702666515492492e-05
241,Ekonomski Fakultet(115),2.6462291949169513e-05
118,Dalmatinska(551),2.606041930438161e-05
812,Železnička Stanica Novi Beograd(2280),2.574709486946223e-05
105,Czk Vlada Divljan(350),2.554275284668872e-05
391,Bulevar Maršala Tolbuhina(373),2.5048926291652737e-05
140,Dalmatinska(553),2.5011463587477595e-05
19,Pravni Fakultet(65),2.497740658368201e-05
121,Czk Vlada Divljan(351),2.4725384755594682e-05
218,Franše Deperea(639),2.4418871721434416e-05
150,Terazije(196),2.4272426605113398e-05
110,Vuka Vrčevića(347),2.370367464172713e-05
434,Ruska(497),2.3645777735274638e-05
13,Trg Slavija /Bulevar Oslobođenja/(146),2.3601503630340373e-05
5,Karađorđev Park(149),2.237545149369932e-05
35,Savski Trg(70),2.217110947092581e-05
10,Franše Deperea(392),2.19667674481523e-05
56,Železnička Stanica Beograd Centar(290),2.1728368421583205e-05
369,Studentski Grad(1119),2.151040359729146e-05
375,Železnička Stanica Tošin Bunar(1123),2.125157036844501e-05
684,Coca-Cola(1158),2.108128534946709e-05
692,Coca-Cola(1159),2.074071531151124e-05
305,Miška Kranjca(738),2.050231628494214e-05
710,Bulevar Kralja Aleksandra(481),2.012768924319071e-05
445,Palata Pravde 1(3736),2.0107255040913355e-05
669,Koste Trifkovića(104),2.0093632239395127e-05
133,"Pijaca ""Kalenić""(556)",2.0080009437876896e-05
175,Trg Republike(702),2.005860217834824e-05
389,Tošin Bunar(1755),1.9187715938432566e-05
474,Vladimira Tomanovića(259),1.895272261224303e-05
317,Miška Kranjca(739),1.8850551600856273e-05
248,Blok 21(119),1.825455403443354e-05
810,Škola Josif Pančić(182),1.8186440026842368e-05
174,Trg Republike(3031),1.785316791827129e-05
385,Go Novi Beograd(370),1.7633013715164115e-05
12,Pravni Fakultet(176),1.7062558901588066e-05
683,Zemun /Gornji Grad/(1152),1.6858216878814556e-05
240,Savski Trg(69),1.67560458674278e-05
719,Kvantaška Pijaca(2390),1.67560458674278e-05
402,Bulevar Umetnosti(435),1.6619817852245462e-05
348,Novo Naselje /Rušanj/(1698),1.655170384465429e-05
727,Kvantaška Pijaca(1925),1.634736182188078e-05
221,Franše Deperea(391),1.634736182188078e-05
382,Bulevar Umetnosti(707),1.6296276316187404e-05
667,Bulevar Kralja Aleksandra(480),1.621113380669844e-05
144,Bistrička(905),1.614301979910727e-05
663,Rimska(216),1.614301979910727e-05
172,Trg Slavija(200),1.6108962795311686e-05
38,Deligradska(394),1.6040848787720514e-05
522,Ulaz U Pariske Komune(454),1.5911432173297295e-05
15,Trg Slavija(199),1.573433575356025e-05
662,Šumice(218),1.5410794217502196e-05
449,Železnik R(911),1.5325651708013232e-05
405,Milutina Milankovića(800),1.5087252681444136e-05
130,Pravni Fakultet(583),1.4916967662466212e-05
168,London(269),1.4915264812276432e-05
671,Bajdina(1429),1.4882910658670626e-05
127,Mašinski Fakultet(62),1.4848853654875044e-05
480,Šumice(258),1.4814796651079457e-05
122,Pančevački Most(349),1.4712625639692703e-05
438,Palata Pravde(706),1.4607048927926392e-05
114,Generala Aračića(606),1.4508283616919193e-05
441,Kneza Višeslava(179),1.4491255115021397e-05
93,Mite Ružića(103),1.447422661312361e-05
8,Trg Oslobođenja(2752),1.4406112605532438e-05
190,Blok 21(118),1.4355027099839058e-05
308,Železnička Stanica Rakovica(1386),1.433799859794127e-05
180,Birčaninova(270),1.424263898731363e-05
115,Železnička Stanica Dunav(720),1.4201770582758928e-05
395,Blok 30(368),1.415068507706555e-05
58,Trošarina(910),1.4099599571372173e-05
451,Put Za Železnik(1351),1.4099599571372173e-05
393,Arhiv(372),1.4007645661124094e-05
691,Zemun /Gornji Grad/(1153),1.3997428559985419e-05
303,Go Rakovica(875),1.365685852202957e-05
453,Ortopedski Zavod(2849),1.3639830020131776e-05
183,Višegradska(272),1.352063050684723e-05
113,Jovana Avakumovića(352),1.3486573503051644e-05
343,Toplana(527),1.3486573503051644e-05
420,Beogradska Arena /Antifašističke Borbe/(192),1.3486573503051644e-05
48,Raška(862),1.3282231480278135e-05
47,Baštovanska(292),1.318006046889138e-05
392,Go Novi Beograd(404),1.3137489214146896e-05
603,Staro Sajmište(1050),1.3111946461300211e-05
711,Prvomajska(1564),1.3077889457504625e-05
819,Topčiderski Park(2582),1.2941661442322284e-05
367,Pariske  Komune(460),1.29076044385267e-05
186,Rk Beograđanka(114),1.2822461929037737e-05
304,Marička(737),1.277137642334436e-05
170,Rk Beograđanka(198),1.277137642334436e-05
253,Zeleni Venac(1049),1.2567034400570849e-05
934,Dr Velizara Kosanovića(100),1.243080638538851e-05
14,Rk Beograđanka(197),1.2260521366410586e-05
513,Železnik R(1980),1.2260521366410586e-05
511,Ada Ciganlija(502),1.2257115666031028e-05
336,Toplana(526),1.2124293351228245e-05
772,Gandijeva(790),1.2056179343637075e-05
7,Južni Bulevar(390),1.2056179343637075e-05
386,Narodnih Heroja(1004),1.181778031706798e-05
431,Durmitorska(2498),1.1783723313272396e-05
157,Maksima Gorkog(825),1.174966630947681e-05
516,Put Za Železnik(1931),1.1647495298090055e-05
328,Ulica Oslobođenja (942),1.147721027911213e-05
219,Trg Oslobođenja(452),1.1443153275316546e-05
687,Bolnica(3113),1.1375039267725375e-05
416,Bežanijska Kosa(1852),1.1306925260134206e-05
307,Janković Stojana(735),1.1238811252543036e-05
418,Beogradska Arena /Antifašističke Borbe/(387),1.1136640241156281e-05
346,Kneževac(1011),1.1034469229769526e-05
686,Elektronska Industrija(1160),1.08641842107916e-05
617,Labudovo Brdo(1014),1.0830127206996016e-05
414,Beogradska Arena(434),1.0727956195609262e-05
351,Kružni Put(2298),1.0625785184222507e-05
758,Dr Huga Klajna(1189),1.0625785184222507e-05
713,Mite Ružića(479),1.0591728180426922e-05
132,Vukov Spomenik(64),1.0469122966762816e-05
338,Labudovo Brdo(1013),1.0421443161448999e-05
1085,Nedeljka Gvozdenovića(1141),1.0421443161448997e-05
388,Tošin Bunar(1754),1.0387386157653411e-05
