,DC,CC,BC,EVC
Ortopedski Zavod(274),0.0019175455417066154,0.06407289853588614,0.19809100071870028,0.01251694907741473
Železnička Stanica Beograd Centar(290),0.001278363694471077,0.061846500504022295,0.19612947356398294,0.003084535667974686
Franše Deperea(392),0.0015979546180888463,0.060850625230936775,0.14427758407347832,0.001570180136506102
Sava Centar(398),0.0019175455417066154,0.0647343594836147,0.13828724133260997,0.009918030977847693
Raška(862),0.001278363694471077,0.05995171673819742,0.13441871469657168,0.0008506006654262588
Sajam(495),0.0022371364653243847,0.0641162247448875,0.1319175247327007,0.012474806538124732
Deligradska(394),0.0009587727708533077,0.06252123004375887,0.1293658477159158,0.004104166628335375
Čukarica(1652),0.002556727388942154,0.0620611686302511,0.1243606145164223,0.0052260491567647826
Mostar(494),0.0022371364653243847,0.06457138140245161,0.12362806671251447,0.015338769979396377
Sava Centar(397),0.0019175455417066154,0.0643787420529597,0.1232223076308141,0.01567116443461991
Miloša Pocerca(271),0.0019175455417066154,0.06391975813041346,0.11782907599743096,0.03519828248970633
Mostar(493),0.0022371364653243847,0.06453941669073059,0.11664015644150681,0.01898697123218438
Sajam(496),0.002556727388942154,0.06461938788154145,0.11590691700036414,0.016355244552218012
Paunova(855),0.0019175455417066154,0.057523669454913134,0.11535444502774972,0.0004474240877358244
Zmaj(1855),0.0009587727708533077,0.05320704666031832,0.11437671447112344,4.826943077854138e-05
Brankov Most(298),0.0022371364653243847,0.058436828835558875,0.11404877657909794,0.08643977777176146
Grmeč(1857),0.0006391818472355385,0.050920275350290485,0.11381962697343122,1.079269675457261e-05
Ikarbus(1859),0.0009587727708533077,0.04884559546667915,0.11328740503884475,2.682293771002793e-06
Toplice Milana(2906),0.0009587727708533077,0.05828335133926908,0.11271864503134624,0.0003607684919151199
Zeleni Venac(1049),0.0009587727708533077,0.0560943690503935,0.10742651448379538,0.02101000644357364
Admirala Geprata(268),0.001278363694471077,0.062177092440982434,0.10715675140921543,0.11175866371940764
Tošin Bunar(1755),0.0015979546180888463,0.05750041347373064,0.10461225480934591,0.00026630422183380233
Put Za Soko Salaš(1862),0.0015979546180888463,0.04697210796529258,0.1021780274128475,9.54968532068786e-07
Džona Kenedija(308),0.001278363694471077,0.054429697148920625,0.10167210481630808,0.0076162714557259795
Rk Beograd(412),0.0015979546180888463,0.0530213169756329,0.10156981514041993,0.0033935074969066296
Pogon Kosmaj(745),0.001278363694471077,0.05594093038223621,0.10126766599295392,8.922443839652001e-05
Beogradska Arena /Antifašističke Borbe/(387),0.0009587727708533077,0.062428922008738855,0.10025908694800242,0.002288839985696935
Zemun /Gornji Grad/(1153),0.002556727388942154,0.04908928319292136,0.09781772936607734,0.0006176178285104448
Trg Branka Radičevića(414),0.0015979546180888463,0.05095510283843861,0.09766151529408243,0.0011934855320176517
Ristin Potok(2834),0.0009587727708533077,0.0516780075312149,0.09672300429570133,4.448298325634619e-06
Milošev Kladenac(2832),0.0006391818472355385,0.05347164071979083,0.09288108561881162,1.940901722565884e-05
Beogradska Arena /Španskih Boraca/(331),0.0006391818472355385,0.060332028613848024,0.0918044193268492,0.0005262302884632006
Omladinskih Brigada(400),0.0009587727708533077,0.05886336700716745,0.09160886325245476,0.00024868618933952287
Vinjage(2836),0.0009587727708533077,0.0497013787407078,0.09084181060953597,1.0287414430935388e-06
"Oš ""Dragojlo Dudić""(1433)",0.0019175455417066154,0.04362738946751998,0.09054557458767062,1.648643442516489e-08
Višegradska(272),0.001278363694471077,0.06432183529992189,0.08802690738792013,0.0139934569720676
Čukarica(1653),0.0019175455417066154,0.06221294363256785,0.08763878654670565,0.007703648079063054
Nine Kirsanove(1435),0.0009587727708533077,0.0420299004661034,0.086189892278396,4.619235471244353e-09
Novo Naselje(1437),0.0009587727708533077,0.04054631921317593,0.0856332646083609,1.10538347493273e-09
Put Za Kaluđericu(1439),0.001278363694471077,0.03916586348900377,0.08459285038800865,3.302058412195105e-10
Bežanijska Kosa(1852),0.001278363694471077,0.0554295837023915,0.08361008892779953,0.00011260434163441414
Beli Potok /Kumbara/(1618),0.001278363694471077,0.03723492871932789,0.0823510063941592,2.7892376849124024e-12
Beogradska Arena /Antifašističke Borbe/(192),0.0009587727708533077,0.06212894386752179,0.0801467873347048,0.0035890728332868375
Baštovanska(292),0.001278363694471077,0.05502893019820263,0.07773136350526388,0.00013393685987481762
Kružni Put(1616),0.001278363694471077,0.03827148413610901,0.0765557191793485,9.301504494274001e-12
Kragujevačkih Đaka(294),0.0009587727708533077,0.05258116555757209,0.0739909698545836,3.0511925420786022e-05
Zeleni Venac(360),0.0019175455417066154,0.0593186600693852,0.07353533894937304,0.270946511277413
Banjica 2(1600),0.0006391818472355385,0.05038647342995169,0.07287390013008843,6.6426899390399605e-06
Pere Velimirovića(864),0.0009587727708533077,0.057390730177362854,0.07249062959607394,0.00019376341040529076
Riste Stefanovića(1602),0.0006391818472355385,0.048391586761521804,0.07235054615276175,1.4506939333444397e-06
Voje Radića(1604),0.0009587727708533077,0.04656873688440416,0.07203289647836028,3.3219317272809266e-07
Robni Terminal(1032),0.0009587727708533077,0.045146954853045144,0.071146371770789,2.289460348663864e-07
Jat Tehnika(2735),0.0009587727708533077,0.04347644852021676,0.06999203190084913,5.520434508230561e-08
Lipovačka(1571),0.001278363694471077,0.04790409994182308,0.06991318452935791,2.7313139748603857e-07
Save Jovanovića(2130),0.0006391818472355385,0.04490077058848853,0.06820082930531332,7.251672278600748e-08
Jajinci /Dom Zdravlja/(1606),0.0006391818472355385,0.043414316040680974,0.06771293548033866,1.584624826458815e-08
Plivalište Banjica(288),0.001278363694471077,0.05922771152754117,0.06751441519322181,0.0008508090752987477
Naselje Klenak(1569),0.0009587727708533077,0.04621451570023336,0.06749142339622861,6.478153140987532e-08
Milutina Miljkovića(1608),0.0006391818472355385,0.04208586646580944,0.0672453719837797,3.4664141506320726e-09
Spomen Park Jajinci(1610),0.0006391818472355385,0.04089073587642608,0.0668006096512618,7.591574932817556e-10
Narodnog Fronta(1567),0.0009587727708533077,0.0447498641343211,0.06658205425774778,2.0642441324750207e-08
Rakovica Selo (Spomen Česma)(1612),0.0006391818472355385,0.03985378031383738,0.06639150971219959,1.665120528410445e-10
Rakovica Selo(1614),0.0006391818472355385,0.03894455162113386,0.06601876157028383,3.682199757831455e-11
Put Za Institut(1441),0.0006391818472355385,0.037830975698222705,0.06393125484402204,7.373808525281516e-11
Filipa Kljajića(1443),0.0009587727708533077,0.036591783513232216,0.06339312012704787,1.739364317763807e-11
Stara Kaluđerica(1445),0.0009587727708533077,0.035435612280721625,0.062468244292072386,4.135509229963966e-12
Pionirski Park(703),0.0031959092361776927,0.06069010997536707,0.05997599319824849,0.3907551874589845
Čardak(1447),0.0006391818472355385,0.03434084024759647,0.058924887775041485,9.517201285836782e-13
Put Za Železnik(1351),0.0009587727708533077,0.059078979665049186,0.058700450708233105,0.001193621872952782
Hotel Radmilovac(1449),0.0006391818472355385,0.033311686237770276,0.05834966498093395,2.583138667739107e-13
Petra Kočića(1451),0.0006391818472355385,0.03234342536410903,0.05777520846941196,1.811512004544278e-13
Dušana  Petrovića Šaneta(1453),0.0006391818472355385,0.0314314414866901,0.05720172258249812,4.0453964090927125e-13
Zdravstvena St. Leštane I Vinča(1455),0.0015979546180888463,0.03057515292462233,0.05689152360746998,1.1750015497926756e-12
Zemun /Gornji Grad/(1152),0.002556727388942154,0.04657081621718164,0.05585192440067686,8.365943611749327e-05
Zemun /Pošta/(410),0.0015979546180888463,0.05008243033436305,0.05520271130574788,0.00023403741881107397
Železnik /Savska/(1979),0.0009587727708533077,0.054590181094944,0.05517277606154989,5.9912456514537915e-05
Kongrap(1654),0.0006391818472355385,0.05666733071336726,0.05492874708790093,0.00026056872613578803
Czk Vlada Divljan(351),0.0015979546180888463,0.05318172547419947,0.05433075613869671,0.010883864790235415
Malinjak(1763),0.0009587727708533077,0.04186849359060133,0.053215209820134085,1.382975467646039e-08
Trg Branka Radičevića(413),0.0015979546180888463,0.04826022580048121,0.052772437974904024,9.465693024292186e-05
Naselje Petlovo Brdo(1693),0.0022371364653243847,0.0444902602019053,0.05247463019138083,2.050021991892697e-08
Železnička Stanica Rakovica(1386),0.001278363694471077,0.049947323053347384,0.05184555185734585,5.171636822848924e-07
Galovica(1765),0.0006391818472355385,0.040332559938128384,0.05171933232334832,3.152109988029262e-09
Bežanijska Kosa(1853),0.0009587727708533077,0.05517058979106056,0.05133279953817654,0.00010503845567209342
Orešac(1767),0.0006391818472355385,0.03890919943296277,0.051139341548709534,7.209839257770824e-10
Surčin /Ulaz/(1769),0.0006391818472355385,0.03758648856428983,0.05056098551025292,1.65498252531805e-10
Go Novi Beograd(403),0.0022371364653243847,0.056924028525687675,0.05002892913061622,0.0007793809803220406
