,Id,Composite,DC,CC,BC,EVC,lat,lon,community
25,Pošta(1619),0.003775380324007668,0.0009587727708533077,0.03502154569365941,0.03897413318069987,1.6912543001300617e-13,44.701176,20.504194,0
66,Put Za Beli Potok(3038),0.0037204549673670807,0.0009587727708533077,0.03600649014395692,0.03797191898842875,6.476135539690497e-13,44.707691,20.508366,0
26,Avala(1621),0.003787923343466953,0.001278363694471077,0.03398611880478347,0.03609579421623302,4.1758399978340954e-14,44.696247,20.501799,0
64,Avala(1622),0.0037132933078826698,0.001278363694471077,0.03387243439854508,0.035018380950585015,3.550649426826968e-14,44.696667,20.502037,0
65,Pošta(1620),0.003271862048677916,0.0006391818472355385,0.03490278753806512,0.03484396141134634,1.4401368660241409e-13,44.701736,20.504852,0
2107,Šumareva Kuća(2033),0.002352914727516896,0.0009587727708533077,0.03290255418038045,0.01842901666210432,9.769667362660308e-15,44.680389,20.518141,0
2106,Šumareva Kuća(2034),0.002332686484740793,0.0009587727708533077,0.032795304475421866,0.01815195593102864,8.294835751031572e-15,44.680447,20.518381,0
1681,Sanatorijum(1997),0.0018209499376919732,0.0006391818472355385,0.03302130713298226,0.013833171288399098,9.311905244825493e-15,44.679096,20.505714,0
1682,Čaršija(1999),0.002010944399246668,0.0009587727708533077,0.03218937102647985,0.0135297360343247,2.201775443894608e-15,44.672703,20.502926,0
1697,Sanatorijum(1998),0.0017648739052812449,0.0006391818472355385,0.03289217798988742,0.013032176652691988,7.908189058410435e-15,44.679245,20.505648,0
1696,Čaršija(2000),0.001953390420345313,0.0009587727708533077,0.03206566852153595,0.012705901069022094,1.8703066204113007e-15,44.672897,20.503141,0
2224,Kolonija(2002),0.0018535318673533773,0.0009587727708533077,0.031346423562412344,0.011375334615958209,4.670077962427347e-16,44.666367,20.504162,0
2608,Put Za Zuce(2391),0.0016258349678558654,0.0006391818472355385,0.03187815190260303,0.011182014125728286,2.1772248435492203e-15,44.680542,20.533007,0
2645,Put Za Zuce(2392),0.0016101294166569362,0.0006391818472355385,0.03177682089612869,0.010970436353374705,1.8457641588179514e-15,44.680714,20.533047,0
2118,Kolonija(2001),0.0018205581666018535,0.0009587727708533077,0.0314323887209057,0.010872630763616033,5.420534699856059e-16,44.666332,20.503845,0
2609,Đurđevdan(2734),0.001570958418619895,0.0006391818472355385,0.030916833815842776,0.010561665801591706,4.864571566528379e-16,44.674278,20.539551,0
2644,Đurđevdan(2733),0.00155507274474649,0.0006391818472355385,0.030820905813518252,0.010346375815824406,4.1165472143544077e-16,44.674969,20.53903,0
2610,Kapija Šumadije(2393),0.001517743441564063,0.0006391818472355385,0.03003253764865098,0.009950717210502709,1.090343145871317e-16,44.670151,20.541859,0
2643,Kapija Šumadije(2394),0.001501143127967366,0.0006391818472355385,0.029921967639521097,0.0097277643988814,9.205695626486807e-17,44.670494,20.542103,0
2223,Železnička Stanica Ripanj(2004),0.0014922831102694076,0.0006391818472355385,0.030646124915524823,0.009455396194897204,1.0479665595281167e-16,44.6618,20.508249,0
2611,Šuplja Stena(2395),0.0014659213474024308,0.0006391818472355385,0.02920695963857671,0.00934879372541954,2.454152829233467e-17,44.665958,20.542088,0
2642,Šuplja Stena(2396),0.0014490482172204667,0.0006391818472355385,0.02910020925366194,0.009121072933266845,2.0655980232936175e-17,44.6661,20.542217,0
2222,Put Za Milovanoviće(2006),0.0014537260748039153,0.0006391818472355385,0.030007480292306807,0.009012325765674999,2.4092470624742267e-17,44.6576,20.511707,0
2612,Raskrsnica-Vrčin(2397),0.0014155244603016172,0.0006391818472355385,0.02843356414590262,0.008757651552504594,5.556853204588321e-18,44.662685,20.543423,0
2641,Raskrsnica-Vrčin(2398),0.0013982712489332128,0.0006391818472355385,0.028331356446311674,0.008523440630661919,4.6560393333284854e-18,44.66301,20.54339,0
2613,Rasadnik(2399),0.001368669356740668,0.0006391818472355385,0.027751170710940826,0.008200876302119773,1.2697095365848852e-18,44.655159,20.550137,0
2640,Rasadnik(2400),0.0013483721220489155,0.0006391818472355385,0.02760403341773045,0.00793061036559216,1.0565105270584535e-18,44.656219,20.549856,0
2639,Prnjavor /Ulaz/(2402),0.0013010155231236577,0.0006391818472355385,0.026939534563362576,0.007362941171662292,2.422409258852469e-19,44.646946,20.553829,0
2636,Trešnja(2406),0.0014723864891489683,0.0009587727708533077,0.02543385490753912,0.006917030631587895,4.145644418425175e-21,44.620907,20.555502,0
2638,Srednji Prnjavor(2426),0.001258653488563882,0.0006391818472355385,0.026372570503851795,0.006849766346241421,5.655915154703607e-20,44.641148,20.552002,0
2617,Trešnja(2405),0.0012165187204200784,0.0006391818472355385,0.02552014941806882,0.00639584283094364,5.394413091359269e-21,44.620659,20.555223,0
2637,Prnjavor /Škola/(2404),0.0012207069926300387,0.0006391818472355385,0.02587918086478976,0.006387246205415905,1.3804730196626917e-20,44.632317,20.554348,0
24,Put Za Beli Potok(3037),0.001543604451530254,0.0009587727708533077,0.033979475484606614,0.006292897061936029,1.0649187968507143e-13,44.706287,20.508604,0
2108,Put Za Zuce(2035),0.0012788426815777641,0.0006391818472355385,0.03186386826749763,0.006071865620409346,2.177224841884815e-15,44.68084,20.533154,0
2618,Avalski Cvet(2407),0.0014038199185522724,0.0009587727708533077,0.02492909270531247,0.006005549567446236,2.0098843605106206e-21,44.615028,20.556324,0
2105,Put Za Zuce(2036),0.0012728952804737536,0.0006391818472355385,0.031763272764186376,0.006003930557413988,1.845764158083391e-15,44.680943,20.532927,0
2635,Avalski Cvet(2408),0.0013875917172118562,0.0009587727708533077,0.024875384578692553,0.0057769442879891525,1.602224298957066e-21,44.614922,20.55658,0
2109,Karagačka(2527),0.0012228929413218993,0.0006391818472355385,0.030888755071619662,0.005438405349811466,4.864571523576918e-16,44.68121,20.536846,0
2104,Karagačka(2528),0.0012170259952220253,0.0006391818472355385,0.030794213167995275,0.005370470286816108,4.116547197064818e-16,44.680748,20.535566,0
2110,Kasarna /Glavni Ulaz/(2545),0.0011677128448165392,0.0006391818472355385,0.029971551451642257,0.004804945079213585,1.090343050299207e-16,44.684071,20.54491,0
2103,Kasarna /Glavni Ulaz/(2546),0.001161919303962075,0.0006391818472355385,0.029882532709387833,0.004737010016218228,9.205695291213214e-17,44.683899,20.544399,0
2619,Trešnja /Škola/(2409),0.0010696518109005113,0.0006391818472355385,0.024325585011272643,0.0044656905656922825,6.930288799746853e-22,44.608356,20.556019,0
2634,Trešnja (Škola)(2535),0.0010689721134193584,0.0006391818472355385,0.024274443177322132,0.0044656905656922825,5.512382190429171e-22,44.608849,20.556145,0
2111,Zuce (Ulaz)(2037),0.0011132358083083321,0.0006391818472355385,0.029107247509279156,0.004171484808615704,2.4541507161914505e-17,44.685413,20.547407,0
2102,Zuce (Ulaz)(2038),0.0011075094231474578,0.0006391818472355385,0.02902328169928578,0.004103549745620348,2.0655973978472866e-17,44.685574,20.547419,0
1684,Oš Vojvoda Putnik(2589),0.0013347373895240238,0.0009587727708533077,0.030515813803797653,0.003893539064622377,2.20379928172065e-16,44.66832,20.4942,0
2620,Trešnja /Koviona/(2464),0.0010187933704666162,0.0006391818472355385,0.02375024668680643,0.0038289608227300258,2.6291798770218846e-22,44.596931,20.5676,0
2633,Trešnja /Koviona/(2536),0.0010181454123730236,0.0006391818472355385,0.023701492989539226,0.0038289608227300258,2.115590590916121e-22,44.596512,20.567881,0
2112,Zuce /Prodavnica/(2039),0.0010594027131978453,0.0006391818472355385,0.028291395039738154,0.0035380245380178276,5.556805239293596e-18,44.690956,20.552608,0
2101,Zuce /Prodavnica/(2040),0.0010537379239877497,0.0006391818472355385,0.028212063835542332,0.003470089475022464,4.6560276412894595e-18,44.690472,20.552156,0
1694,Oš Vojvoda Putnik(1635),0.0012955147802845841,0.0009587727708533077,0.03053755465334166,0.0033113346658249446,2.21345078154567e-16,44.6674,20.498615,0
2621,13.Oktobra(2547),0.0009682559679113149,0.0006391818472355385,0.023201150788942936,0.0031918223957222223,1.0776402809489997e-22,44.58424,20.56481,0
2632,13.Oktobra(2548),0.0009676375951740025,0.0006391818472355385,0.023154623154623154,0.0031918223957222223,8.887680262770148e-23,44.58596,20.565451,0
2113,Zuce /Ambulanta/(2041),0.001006160888353407,0.0006391818472355385,0.027520030958935435,0.002904564267419948,1.2695962219918413e-18,44.694286,20.552834,0
27,Mz Pinosava(1623),0.0010771503144426694,0.0006391818472355385,0.032874898874751785,0.002901924849625791,9.283213089763056e-15,44.695477,20.493031,0
2100,Zuce /Ambulanta/(2042),0.0010005527325474047,0.0006391818472355385,0.02744496096833611,0.002836629204424583,1.0564882819808797e-18,44.694172,20.552668,0
63,Mz Pinosava(1624),0.0010711514130843957,0.0006391818472355385,0.0327685154155496,0.002834364413672175,7.883184769025573e-15,44.695503,20.493847,0
1683,Kolonija(1913),0.0010385423208601014,0.0006391818472355385,0.03128092853072609,0.0026451899414021685,5.156872759088687e-16,44.666161,20.503769,0
2622,Livnica(2549),0.000918016277051731,0.0006391818472355385,0.022676542207792208,0.002554275284668872,4.6859436051276507e-23,44.577202,20.565331,0
2631,Livnica(2550),0.0009174255258147619,0.0006391818472355385,0.022632092871867203,0.002554275284668872,3.9994933413899307e-23,44.577229,20.565809,0
2933,Pavićevac 1(2798),0.0009453997523701574,0.0006391818472355385,0.025865061914130308,0.0023333475781656668,9.62895396062803e-21,44.636162,20.535999,0
2114,Zuce /Centar/(2043),0.0009535164142370191,0.0006391818472355385,0.02678961292476819,0.0022718873079093658,2.9424342081340055e-19,44.699024,20.556839,0
28,Oš Vasa Čarapić(1625),0.0010201604226744614,0.0006391818472355385,0.031834043808690524,0.0022660124747546266,2.068203072726223e-15,44.695107,20.48922,0
1693,Minel 3(1637),0.000989119017789004,0.0006391818472355385,0.02963629475279409,0.002239012681881102,4.9890787588452245e-17,44.668564,20.492279,0
1685,Minel 3(1636),0.0009879311799134234,0.0006391818472355385,0.029615817818708413,0.0022255199456821303,4.9660605971458377e-17,44.66869,20.491859,0
2099,Zuce /Centar/(2044),0.0009479604484015836,0.0006391818472355385,0.026718469814704125,0.0022039522449140004,2.4219748461813315e-19,44.698822,20.556881,0
62,Oš Vasa Čarapić(1626),0.0010142494983067644,0.0006391818472355385,0.0317342799188641,0.0021984520388010145,1.7537230045050918e-15,44.694992,20.489576,0
2427,Pošta(2892),0.0010447725039864748,0.0006391818472355385,0.03475932858618736,0.002055798823492546,1.4321262282835618e-13,44.70211,20.504629,0
2623,Ralja /Centar/(2551),0.0008680530064313005,0.0006391818472355385,0.02217481893044945,0.0019163194895699745,2.1294716278731683e-23,44.57383,20.5581,0
2630,Ralja /Centar/(2552),0.0008674880824982101,0.0006391818472355385,0.02213231289389363,0.0019163194895699745,1.8909767871577672e-23,44.57394,20.558451,0
1695,Kolonija(1914),0.000985796273223935,0.0006391818472355385,0.031224428699730567,0.0018790393946894646,4.447838833046686e-16,44.666119,20.503771,0
2932,Pavićevac 2(2821),0.0008950659167347955,0.0006391818472355385,0.02523224308109154,0.0017156046148194513,3.0168019669832543e-21,44.634281,20.540655,0
2115,Zuce /Crkva/(2045),0.0009015600445086396,0.0006391818472355385,0.02610044793673832,0.0016412707971284162,6.979475115965627e-20,44.702175,20.552761,0
29,Zadruga(1627),0.0009641432646963599,0.0006391818472355385,0.030857075234460518,0.0016319221495865262,4.619686867588665e-16,44.696812,20.483906,0
1692,Minel 2(1651),0.0009346110708956779,0.0006391818472355385,0.028786707882534776,0.0016022148249112583,1.1329205170437385e-17,44.667336,20.488775,0
