,route_short_name,number_of_distinct_stop_ids
194,601N,123
190,304N,119
195,603N,104
148,25P,104
130,605,103
76,94,98
189,301N,97
60,74,95
192,401N,93
133,610,90
200,301Na,89
193,511N,89
181,47N,88
212,E6,85
77,95,84
59,73,84
89,302,83
205,47Nb,81
104,405,81
129,604,80
126,601,78
187,101N,78
107,408,78
197,706N,77
184,56N,76
64,78,75
90,303,75
203,601Na,73
37,47,72
14,23,72
45,55,71
12,18,71
70,85,71
72,88,70
207,304Nb,70
35,45,69
48,58,68
142,708,68
4,9,67
199,101Na,67
196,704N,66
49,59,66
100,401,65
211,E2,65
210,E1,65
73,89,65
188,202N,65
16,25,65
40,50,65
32,42,64
128,603,64
3,7,64
168,407L,63
52,65,63
116,511,62
27,37,62
101,402,62
102,403,61
123,534,61
201,304NA,61
58,72,60
124,551,60
44,54,59
65,79,58
23,33,58
11,17,58
141,707,56
175,27N,56
106,407,55
136,613,55
38,48,55
68,83,54
82,105,54
127,602,53
91,304,53
149,27E,53
179,33N,53
213,E9,53
30,40,53
46,56,53
8,14,53
183,51N,52
18,27,52
132,607,52
180,37N,52
115,507,51
83,106,51
135,612,51
98,311,51
167,406L,51
140,706,50
13,20,50
182,48N,50
42,52,50
94,307,49
56,70,49
43,53,49
88,202,48
79,101,48
208,511Nb,48
5,10,48
29,39,48
112,504,48
108,409,47
36,46,47
41,51,47
111,503,47
170,703L1,47
109,501,47
63,77,47
81,104,46
6,11,46
67,82,46
157,105L,46
178,32N,46
92,305,46
75,92,45
155,81L,45
17,26,45
174,26N,45
39,49,44
10,16,44
1,5,43
93,306,43
202,511Na,43
173,15N,43
66,81,43
186,75N,42
117,512,42
191,308N,42
206,101Nb,42
7,12,42
24,34,42
25,35,42
57,71,41
105,406,41
145,3A,41
143,709,41
78,96,41
198,47Na,40
31,41,40
146,13,40
103,404,40
138,704,40
134,611,40
62,76,39
144,711,38
185,68N,38
61,75,38
110,502,38
69,84,37
96,309,37
169,505R,36
34,44,36
51,64,35
176,29N,35
9,15,35
22,32,34
74,91,34
151,32E,34
171,EKO1,33
172,EKO2,32
113,505,32
54,67,31
119,521,31
55,68,31
0,2,31
163,706E,31
177,31N,31
21,31,31
26,36,29
15,24,29
125,553,29
85,108,29
159,405L,29
114,506,28
95,308,28
139,705,28
131,606,27
166,60L,26
2,6,25
80,102,25
204,603Na,25
152,35L,25
121,532,25
19,28,25
33,43,24
154,56L,24
86,109,24
47,57,24
150,29A,24
99,312,24
120,531,24
118,513,24
50,60,23
84,107,23
20,30,23
160,505L,23
153,38L,23
53,66,23
158,309L,22
209,47Nv,22
162,703L,22
161,702L,21
165,26L,21
97,310,20
137,700,19
147,21A,19
28,38,18
122,533,17
156,87A,16
87,110,14
71,87,14
164,22L,10
