,stop_name,Number of trips
1386,Sajam,1684
354,Karađorđev Park,1656
1383,Sajam,1656
1407,Ada Ciganlija,1654
351,Karađorđev Park,1649
792,Brankov Most,1597
348,Trg Slavija /Bulevar Oslobođenja/,1450
1392,Ruska,1421
951,Czk Vlada Divljan,1406
948,Czk Vlada Divljan,1405
1812,Franše Deperea,1391
465,Kijevska,1353
459,Dom Zdravlja,1353
453,Škola Josif Pančić,1353
1395,Gospodarska Mehana,1339
793,Brankov Most,1319
711,Miloša Pocerca,1307
450,Škola Josif Pančić,1272
456,Dom Zdravlja,1272
462,Kijevska,1272
1387,Sajam,1241
1408,Ada Ciganlija,1235
1384,Sajam,1231
355,Karađorđev Park,1215
352,Karađorđev Park,1211
1389,Ruska,1201
1377,Mostar,1192
444,Kneza Višeslava,1181
794,Brankov Most,1147
1388,Sajam,1126
2127,Franše Deperea,1121
495,Terazije,1120
1385,Sajam,1112
1401,Petlja Radnička,1111
949,Czk Vlada Divljan,1107
952,Czk Vlada Divljan,1106
1409,Ada Ciganlija,1096
1393,Ruska,1071
954,Jovana Avakumovića,1069
349,Trg Slavija /Bulevar Oslobođenja/,1059
1413,Kirovljeva,1045
356,Karađorđev Park,1045
353,Karađorđev Park,1044
466,Kijevska,1042
454,Škola Josif Pančić,1042
460,Dom Zdravlja,1042
1017,Bulevar Maršala Tolbuhina,1035
712,Miloša Pocerca,1030
1020,Bulevar Maršala Tolbuhina,1020
1014,Arhiv,1020
471,Trebevićka,1017
960,Cvijićeva,998
451,Škola Josif Pančić,996
457,Dom Zdravlja,996
463,Kijevska,996
1396,Gospodarska Mehana,994
1813,Franše Deperea,987
939,Vuka Vrčevića,972
936,Vuka Vrčevića,963
1394,Ruska,955
489,Trg Republike,950
978,Zeleni Venac,949
981,Brankov Most,946
975,Zeleni Venac,946
2064,Žarkovo,944
2058,Julino Brdo,944
953,Czk Vlada Divljan,942
950,Czk Vlada Divljan,940
2454,Paunova,939
468,Trebevićka,939
9017,Kula Beograd,935
9023,Tc Galerija,935
1390,Ruska,931
2055,Julino Brdo,930
714,Višegradska,928
708,Birčaninova,928
702,Admirala Geprata,925
461,Dom Zdravlja,925
455,Škola Josif Pančić,925
467,Kijevska,925
445,Kneza Višeslava,924
1378,Mostar,921
350,Trg Slavija /Bulevar Oslobođenja/,917
993,Palata Srbija,914
945,Pančevački Most,913
713,Miloša Pocerca,910
984,Šest Kaplara,908
990,Palata Srbija,908
957,Cvijićeva,907
963,Džordža Vašingtona,907
942,Pančevački Most,905
3027,Zeleni Venac,903
966,Džordža Vašingtona,901
2478,Pere Velimirovića,897
1134,Rk Beograd,893
1809,Birčaninova,889
2457,Paunova,881
464,Kijevska,880
458,Dom Zdravlja,880
452,Škola Josif Pančić,880
1397,Gospodarska Mehana,878
2004,Pionirski Park,878
1128,Zemun /Pošta/,878
1011,Arhiv,868
1557,Dalmatinska,861
446,Kneza Višeslava,858
1110,Go Novi Beograd,857
2472,Raška,855
264,Blok 21,852
2502,Stanka Paunovića,850
2508,Miljakovac 1,850
1551,Dalmatinska,847
1005,Blok 30,846
999,Španskih Boraca,846
2490,Kanarevo Brdo,844
2484,Srpskih Udarnih Brigada,844
1402,Petlja Radnička,842
955,Jovana Avakumovića,840
996,Španskih Boraca,840
2511,Miljakovac 1,840
2481,Pere Velimirovića,837
2475,Raška,837
2463,Pet Solitera,832
9317,Beograd Na Vodi,831
2460,Pet Solitera,826
1391,Ruska,820
753,Vojnomedicinska Akademija,820
759,Plivalište Banjica,820
705,London,819
1814,Franše Deperea,817
1018,Bulevar Maršala Tolbuhina,817
756,Vojnomedicinska Akademija,817
762,Plivalište Banjica,817
4161,"Oš ""Dragojlo Dudić""",814
1380,Mostar,812
345,Trg Slavija /Bulevar Oslobođenja/,810
1414,Kirovljeva,808
1015,Arhiv,806
1021,Bulevar Maršala Tolbuhina,806
9026,Tc Galerija,804
9020,Kula Beograd,804
897,Zemun /Novi Grad/,795
2128,Franše Deperea,784
4149,Bajdina,784
496,Terazije,781
2455,Paunova,780
741,Paje Adamova,776
747,Banjica,776
961,Cvijićeva,776
472,Trebevićka,774
750,Banjica,774
744,Paje Adamova,774
2514,Go Rakovica,772
1379,Mostar,768
3028,Zeleni Venac,767
976,Zeleni Venac,765
738,Bolnica Dragiša Mišović,765
982,Brankov Most,765
2505,Stanka Paunovića,765
1129,Zemun /Pošta/,764
1461,Pilota Mihajla Petrovića,763
4155,Mirijevska,762
2517,Go Rakovica,762
2499,Vareška,762
1008,Go Novi Beograd,762
735,Bolnica Dragiša Mišović,762
979,Zeleni Venac,759
1002,Blok 30,758
3555,Karađorđev Trg,757
2964,Vojno Medicinski Centar,757
1266,Fontana,756
1260,Ulaz U Pariske Komune,755
1135,Rk Beograd,755
2487,Srpskih Udarnih Brigada,752
2493,Kanarevo Brdo,752
1101,Bulevar Zorana Đinđića,749
969,Skadarska,743
4152,Mirijevska,741
4146,Bajdina,741
4158,"Oš ""Dragojlo Dudić""",741
1019,Bulevar Maršala Tolbuhina,737
972,Dom Omladine,736
1403,Petlja Radnička,733
265,Blok 21,732
4812,Čukarica,732
1016,Arhiv,732
490,Trg Republike,732
3249,Železnička Stanica Tošin Bunar,732
1022,Bulevar Maršala Tolbuhina,732
1107,Go Novi Beograd,731
1140,Trg Branka Radičevića,729
469,Trebevićka,728
1146,Nade Dimić,728
1164,Filipa Višnjića,728
709,Birčaninova,727
1104,Bulevar Zorana Đinđića,727
715,Višegradska,727
703,Admirala Geprata,726
2103,Miška Kranjca,725
1137,Trg Branka Radičevića,724
4815,Čukarica,722
774,Baštovanska,722
780,Kragujevačkih Đaka,722
994,Palata Srbija,721
2106,Miška Kranjca,720
991,Palata Srbija,719
985,Šest Kaplara,719
946,Pančevački Most,718
958,Cvijićeva,718
964,Džordža Vašingtona,718
943,Pančevački Most,717
567,Petrinjska,714
1143,Nade Dimić,712
1161,Filipa Višnjića,712
564,Petrinjska,710
570,Konjarnik,710
558,Šumice,710
1089,Sava Centar,709
473,Trebevićka,709
967,Džordža Vašingtona,707
777,Kragujevačkih Đaka,706
771,Baštovanska,706
937,Vuka Vrčevića,704
491,Trg Republike,704
940,Vuka Vrčevića,703
9018,Kula Beograd,702
9024,Tc Galerija,702
1092,Sava Centar,697
2503,Stanka Paunovića,694
2458,Paunova,694
2509,Miljakovac 1,694
956,Jovana Avakumovića,693
1415,Kirovljeva,691
2456,Paunova,690
2049,Železnička Stanica Dunav,689
2512,Miljakovac 1,689
1111,Go Novi Beograd,687
3029,Zeleni Venac,686
2065,Žarkovo,685
2059,Julino Brdo,685
2056,Julino Brdo,684
2616,Nemanjina,682
129,Kralja Petra,680
123,Braće Baruh,680
66,Dorćol /Kneginje Ljubice/,680
1116,Džona Kenedija,676
2496,Vareška,675
1170,Ruska,674
6220,Banovo Brdo,674
1558,Dalmatinska,673
2479,Pere Velimirovića,672
2196,Mz Krnjača,671
2181,Blok Sutjeska,671
2193,"Blok ""Branko Momirov""",671
2187,Partizanski Blok,671
1479,Toplana,667
5563,Blok Sutjeska,667
2184,Partizanski Blok,667
63,Dorćol /Kneginje Ljubice/,667
2190,"Blok ""Branko Momirov""",667
126,Kralja Petra,667
1012,Arhiv,666
470,Trebevićka,665
1006,Blok 30,665
1552,Dalmatinska,665
1000,Španskih Boraca,665
9019,Kula Beograd,664
9025,Tc Galerija,664
1470,Vidikovački Venac,664
997,Španskih Boraca,664
501,Rk Beograđanka,664
507,Trg Slavija,664
1458,Pilota Mihajla Petrovića,664
1476,Toplana,664
2129,Franše Deperea,663
2491,Kanarevo Brdo,662
492,Terazije,662
498,Rk Beograđanka,662
2485,Srpskih Udarnih Brigada,662
898,Zemun /Novi Grad/,661
7285,Durmitorska,661
995,Palata Srbija,660
2265,Blok 70,660
2703,Ulica Oslobođenja ,660
2259,Gandijeva,660
986,Šest Kaplara,659
992,Palata Srbija,659
486,Trg Republike,658
2598,Ustanička,657
2274,Omladinskih Brigada,657
2268,Blok 70,657
706,London,656
497,Terazije,656
153,Studentski Trg,655
4173,Novo Naselje,654
4179,Put Za Kaluđericu,654
2706,Ulica Oslobođenja ,654
4167,Nine Kirsanove,654
1810,Birčaninova,652
962,Cvijićeva,651
947,Pančevački Most,651
9209,Ilije Guteše,650
789,Brankov Most,648
1130,Zemun /Pošta/,647
3246,Železnička Stanica Tošin Bunar,645
944,Pančevački Most,645
1136,Rk Beograd,644
2473,Raška,644
983,Brankov Most,643
977,Zeleni Venac,643
1845,Studentski Trg,643
2515,Go Rakovica,641
6226,Žs Pančevački Most,640
980,Zeleni Venac,639
1131,Zemun /Pošta/,638
1167,Ruska,637
4164,Nine Kirsanove,637
4170,Novo Naselje,637
4176,Put Za Kaluđericu,637
2518,Go Rakovica,636
9206,Ilije Guteše,633
2005,Pionirski Park,632
2476,Raška,630
2482,Pere Velimirovića,630
1500,Resavska,629
710,Birčaninova,629
716,Višegradska,629
760,Plivalište Banjica,627
754,Vojnomedicinska Akademija,627
3324,"Naselje ""Dr Ivan Ribar""",627
2506,Stanka Paunovića,627
2464,Pet Solitera,627
987,Šest Kaplara,627
2461,Pet Solitera,626
3321,Dr Ivana Ribara,625
704,Admirala Geprata,625
757,Vojnomedicinska Akademija,624
763,Plivalište Banjica,624
2500,Vareška,624
1112,Go Novi Beograd,623
6205,Kneževac,623
1138,Trg Branka Radičevića,622
9318,Beograd Na Vodi,622
938,Vuka Vrčevića,621
99,Vukov Spomenik,621
941,Vuka Vrčevića,620
3556,Karađorđev Trg,616
1071,Franše Deperea,616
1077,Deligradska,616
9027,Tc Galerija,615
1261,Ulaz U Pariske Komune,615
1267,Fontana,615
1381,Mostar,615
1141,Trg Branka Radičevića,615
9021,Kula Beograd,615
742,Paje Adamova,611
748,Banjica,611
1473,Vidikovački Venac,610
1080,Deligradska,610
266,Blok 21,610
751,Banjica,610
1074,Franše Deperea,610
1467,Mz Vidikovac,610
745,Paje Adamova,610
9011,Savski Park,608
135,Omladinski Stadion,608
141,Vatrogasna Komanda,608
9116,Savski Most,608
147,Novo Groblje,608
1464,Mz Vidikovac,607
1162,Filipa Višnjića,605
3444,Dr Huga Klajna,605
3483,Nikole Dobrovića,605
1144,Nade Dimić,605
1007,Blok 30,604
998,Španskih Boraca,604
1001,Španskih Boraca,604
2459,Paunova,602
1548,Omladinski Stadion,598
138,Vatrogasna Komanda,598
144,Novo Groblje,598
1013,Arhiv,598
1263,Fontana,598
2504,Stanka Paunovića,597
755,Vojnomedicinska Akademija,597
2510,Miljakovac 1,597
3250,Železnička Stanica Tošin Bunar,597
2060,Julino Brdo,597
2066,Žarkovo,597
761,Plivalište Banjica,597
1165,Filipa Višnjića,596
2057,Julino Brdo,596
1147,Nade Dimić,596
736,Bolnica Dragiša Mišović,594
3336,Zemun /Gornji Grad/,593
764,Plivalište Banjica,592
758,Vojnomedicinska Akademija,592
2118,Palilulska Pijaca,591
2513,Miljakovac 1,590
2073,Ratka Mitrovića,590
1003,Blok 30,589
90,Palilulska Pijaca,589
1009,Go Novi Beograd,588
2104,Miška Kranjca,587
2488,Srpskih Udarnih Brigada,587
1158,Tršćanska,587
2494,Kanarevo Brdo,587
899,Zemun /Novi Grad/,586
1029,Novi Beograd /Paviljoni/,586
27,Ekonomski Fakultet,585
1108,Go Novi Beograd,585
781,Kragujevačkih Đaka,584
775,Baštovanska,584
9319,Beograd Na Vodi,584
1032,Novi Beograd /Paviljoni/,582
1102,Bulevar Zorana Đinđića,582
222,Koste Trifkovića,582
1559,Dalmatinska,582
2107,Miška Kranjca,582
504,Trg Slavija,581
743,Paje Adamova,581
749,Banjica,581
261,Blok 21,581
1553,Dalmatinska,580
216,Mite Ružića,579
210,Dr Velizara Kosanovića,579
3333,Zemun /Gornji Grad/,579
752,Banjica,578
746,Paje Adamova,578
9022,Kula Beograd,577
9028,Tc Galerija,577
970,Skadarska,577
2238,Blok 45,576
2244,Dr Ivana Ribara 1,576
346,Trg Slavija /Bulevar Oslobođenja/,576
594,Bačvanska,575
2241,Dr Ivana Ribara 1,575
2235,Blok 45,575
2370,Mpi,575
600,Grčića Milenka,575
1155,Tršćanska,575
2283,Erport Siti,574
219,Koste Trifkovića,574
2965,Vojno Medicinski Centar,574
1462,Pilota Mihajla Petrovića,573
1105,Bulevar Zorana Đinđića,573
772,Baštovanska,572
2364,Maksima Gorkog,572
778,Kragujevačkih Đaka,572
603,Grčića Milenka,572
597,Bačvanska,572
776,Baštovanska,571
959,Cvijićeva,571
782,Kragujevačkih Đaka,571
965,Džordža Vašingtona,571
207,Dr Velizara Kosanovića,570
737,Bolnica Dragiša Mišović,568
968,Džordža Vašingtona,567
973,Dom Omladine,566
739,Bolnica Dragiša Mišović,566
707,London,566
790,Brankov Most,565
3557,Karađorđev Trg,565
483,Beogradska Arena /Antifašističke Borbe/,562
1171,Ruska,560
2480,Pere Velimirovića,560
773,Baštovanska,559
779,Kragujevačkih Đaka,559
7279,Palata Pravde,556
568,Petrinjska,550
2486,Srpskih Udarnih Brigada,550
2492,Kanarevo Brdo,550
1168,Ruska,549
1262,Ulaz U Pariske Komune,549
1059,Beogradska Arena /Antifašističke Borbe/,548
1132,Zemun /Pošta/,548
2704,Ulica Oslobođenja ,547
1644,Pravni Fakultet,547
1650,Tehnički Fakulteti,547
1117,Džona Kenedija,547
1494,Trg Republike,546
565,Petrinjska,545
2260,Gandijeva,545
559,Šumice,545
571,Konjarnik,545
2266,Blok 70,545
2275,Omladinskih Brigada,544
2269,Blok 70,544
1653,Tehnički Fakulteti,544
2516,Go Rakovica,544
2497,Vareška,543
2094,Janković Stojana,543
1268,Fontana,543
2100,Marička,543
2194,"Blok ""Branko Momirov""",541
3251,Železnička Stanica Tošin Bunar,541
5564,Blok Sutjeska,541
2182,Blok Sutjeska,541
2188,Partizanski Blok,541
2185,Partizanski Blok,541
2197,Mz Krnjača,541
2191,"Blok ""Branko Momirov""",541
1647,Pravni Fakultet,541
2085,Pilota Mihajla Petrovića,539
2091,Janković Stojana,539
2097,Marička,539
1090,Sava Centar,538
2707,Ulica Oslobođenja ,538
2519,Go Rakovica,537
516,Mačvanska,537
2617,Nemanjina,536
3639,Sebeš Suvi,535
3627,Sebeš Mokri,535
3645,Pakračka,535
3651,Pirotsko Naselje,535
3633,Sebeška Reka,535
740,Bolnica Dragiša Mišović,534
819,Džona Kenedija,534
347,Trg Slavija /Bulevar Oslobođenja/,533
1142,Trg Branka Radičevića,533
1139,Trg Branka Radičevića,533
2474,Raška,532
1113,Džona Kenedija,531
3630,Sebeška Reka,531
3624,Sebeš Mokri,531
1119,Prve Pruge - Retenzija,531
513,Novopazarska,531
3642,Pakračka,531
3636,Sebeš Suvi,531
3648,Pirotsko Naselje,531
3618,Borča Raskršće,531
1004,Blok 30,529
1103,Bulevar Zorana Đinđića,529
1093,Sava Centar,528
3237,Studentski Grad,528
2507,Stanka Paunovića,528
1109,Go Novi Beograd,527
1010,Go Novi Beograd,527
6139,Bežanijska Kosa,525
2286,Erport Siti,525
2501,Vareška,525
1491,Dušanova,524
3247,Železnička Stanica Tošin Bunar,524
612,Makedonska,523
1145,Nade Dimić,522
1163,Filipa Višnjića,522
2050,Železnička Stanica Dunav,521
693,Medaković 3,520
2477,Raška,519
1106,Bulevar Zorana Đinđića,519
2483,Pere Velimirovića,519
1811,Birčaninova,519
1091,Sava Centar,518
1148,Nade Dimić,517
2105,Miška Kranjca,517
675,Vladimira Tomanovića,517
1166,Filipa Višnjića,517
2465,Pet Solitera,516
1488,Dušanova,516
4197,Stara Kaluđerica,515
4191,Filipa Kljajića,515
831,Makedonska,514
2462,Pet Solitera,514
1503,Glavna Pošta,514
262,Blok 21,512
124,Braće Baruh,512
67,Dorćol /Kneginje Ljubice/,512
2108,Miška Kranjca,512
130,Kralja Petra,512
4813,Čukarica,512
6298,Kosovopoljska,511
6221,Banovo Brdo,511
3693,Bratstva I Jedinstva,511
1878,Mirijevski Bulevar,510
1860,Vojvode Micka Krstića,510
1872,Put Za Adu Huju,510
1866,Diljska,510
791,Brankov Most,509
1459,Pilota Mihajla Petrovića,508
1471,Vidikovački Venac,508
1477,Toplana,508
1480,Toplana,508
4162,"Oš ""Dragojlo Dudić""",507
1761,Vitezova Karađorđeve Zvezde,507
1767,Selište,507
1773,Stojčino Brdo,507
2610,Trošarina,506
4194,Stara Kaluđerica,505
1094,Sava Centar,505
4188,Filipa Kljajića,505
4182,Put Za Institut,505
1078,Deligradska,504
1881,Mirijevski Bulevar,504
1869,Diljska,504
1072,Franše Deperea,504
1863,Vojvode Micka Krstića,504
1875,Put Za Adu Huju,504
6166,Solunska,503
4816,Čukarica,502
1566,"Pijaca ""Kalenić""",502
270,Sava Centar,502
276,Blok 23,502
217,Mite Ružića,501
1770,Stojčino Brdo,501
2189,Partizanski Blok,501
211,Dr Velizara Kosanovića,501
2183,Blok Sutjeska,501
1764,Selište,501
1758,Vitezova Karađorđeve Zvezde,501
2195,"Blok ""Branko Momirov""",501
2198,Mz Krnjača,501
1075,Franše Deperea,500
1081,Deligradska,500
1846,Studentski Trg,499
1847,Studentski Trg,499
267,Sava Centar,498
273,Blok 23,498
127,Kralja Petra,498
64,Dorćol /Kneginje Ljubice/,498
2186,Partizanski Blok,497
2192,"Blok ""Branko Momirov""",497
5565,Blok Sutjeska,497
208,Dr Velizara Kosanovića,496
399,Nikšićka,495
381,Kralja Vladimira,495
2006,Pionirski Park,495
387,Vitanovačka,495
411,Saobraćajni Fakultet,495
375,Bože Jankovića,495
405,Visoka Škola Elektrotehnike,495
366,Trg Oslobođenja,495
3484,Nikole Dobrovića,494
3445,Dr Huga Klajna,494
136,Omladinski Stadion,494
4150,Bajdina,494
142,Vatrogasna Komanda,494
148,Novo Groblje,494
1118,Džona Kenedija,494
3248,Železnička Stanica Tošin Bunar,493
2618,Nemanjina,492
1264,Fontana,492
7286,Durmitorska,492
1125,22. Oktobra,491
1122,Poljoprivredni Fakultet,491
91,Palilulska Pijaca,490
2119,Palilulska Pijaca,490
125,Braće Baruh,489
402,Visoka Škola Elektrotehnike,489
378,Kralja Vladimira,489
68,Dorćol /Kneginje Ljubice/,489
390,Petrovačka,489
131,Kralja Petra,489
408,Saobraćajni Fakultet,489
396,Nikšićka,489
369,Trg Oslobođenja,489
384,Vitanovačka,489
9014,Savski Park,488
4814,Čukarica,487
139,Vatrogasna Komanda,487
1549,Omladinski Stadion,487
145,Novo Groblje,487
114,Savski Trg,486
1156,Tršćanska,486
672,Šumice,485
3334,Zemun /Gornji Grad/,484
1382,Mostar,483
837,Kbc Zemun,483
5077,Aleksandra Dubčeka,483
6227,Žs Pančevački Most,483
1172,Ruska,481
28,Ekonomski Fakultet,481
988,Šest Kaplara,480
4817,Čukarica,480
128,Kralja Petra,479
3325,"Naselje ""Dr Ivan Ribar""",479
65,Dorćol /Kneginje Ljubice/,479
96,Vukov Spomenik,478
2955,Petlovo Brdo,478
840,Kbc Zemun,478
834,Aleksandra Dubčeka,478
3337,Zemun /Gornji Grad/,478
2958,Petlovo Brdo,477
2705,Ulica Oslobođenja ,477
224,Koste Trifkovića,476
1159,Tršćanska,476
3322,Dr Ivana Ribara,476
223,Koste Trifkovića,476
2495,Kanarevo Brdo,476
252,Ekonomski Fakultet,476
2489,Srpskih Udarnih Brigada,476
6208,Ane Ahmatove,475
4163,"Oš ""Dragojlo Dudić""",474
100,Vukov Spomenik,474
1152,Dunavska,473
2284,Erport Siti,473
