,route_short_name,stop_name,average_wait
0,22L,Trg Slavija,0:04:23.007519
3,22L,Studentski Trg,0:04:25.168539
6,31,Studentski Trg,0:05:46.733668
9,E9,Studentski Trg,0:11:48.648649
10,26,Naselje Braće Jerković,0:05:06.756757
13,26,Dorćol /Dunavska/,0:05:13.761468
16,29A,Medaković 3,0:05:36.231884
19,18,Medaković 3,0:08:20
20,26L,Medaković 3,0:08:31.525424
25,29A,Trg Slavija,0:05:40.191388
28,21A,Trg Slavija,0:10:07.894737
31,31,Konjarnik,0:05:46.039604
34,309,Kaluđerica,0:06:02.436548
37,309,Zvezdara /Pijaca/,0:06:07.539267
40,16,Novi Beograd /Paviljoni/,0:06:07.741935
43,611,Novi Beograd /Paviljoni/,0:16:05.753425
44,610,Novi Beograd /Paviljoni/,0:17:27.761194
45,82,Novi Beograd /Paviljoni/,0:17:49.354839
46,81,Novi Beograd /Paviljoni/,0:18:00
49,81L,Novi Beograd /Paviljoni/,0:19:29.491525
59,613,Novi Beograd /Paviljoni/,0:43:20
60,612,Novi Beograd /Paviljoni/,0:47:30
62,711,Novi Beograd /Paviljoni/,0:47:55
67,607,Novi Beograd /Paviljoni/,1:31:52.500000
70,16,Karaburma 2,0:06:10.588235
73,41,Studentski Trg,0:06:25.714286
76,28,Studentski Trg,0:09:47.394958
79,50,Banovo Brdo,0:06:27.428571
82,49,Banovo Brdo,0:14:25.714286
83,85,Banovo Brdo,0:16:42.985075
86,57,Banovo Brdo,0:19:36.470588
91,41,Banjica 2,0:06:32.571429
94,40,Banjica 2,0:09:23.157895
97,78,Banjica 2,0:10:36.363636
100,50,Bulevar Kralja Aleksandra,0:06:33.641618
103,E1,Bulevar Kralja Aleksandra,0:29:00
105,37,Žs Pančevački Most,0:06:39.375000
109,96,Žs Pančevački Most,0:11:47.142857
111,58,Žs Pančevački Most,0:14:42.857143
114,37,Kneževac,0:06:42.909091
115,3A,Kneževac,0:10:10.344828
122,507,Kneževac,0:34:11.612903
123,95,Blok 45,0:06:44.733728
126,94,Blok 45,0:09:22.500000
127,73,Blok 45,0:11:35.876289
132,E6,Blok 45,0:19:33.913043
134,604,Blok 45,0:20:15.789474
135,605,Blok 45,0:22:35.769231
136,E1,Blok 45,0:29:00
142,511,Beograd Na Vodi,0:06:45.172414
145,51,Beograd Na Vodi,0:11:11.875000
148,48,Miljakovac 3,0:06:46.875000
151,95,Borča 3,0:06:49.058824
156,96,Borča 3,0:12:00
157,511,Sremčica,0:06:49.714286
160,48,Žs Pančevački Most,0:06:57.073171
161,33,Žs Pančevački Most,0:07:45.517241
166,23,Vidikovac,0:07:03.636364
169,53,Vidikovac,0:11:32.783505
172,23,Karaburma 2,0:07:05.925926
175,27,Trg Republike,0:07:09.878049
178,46,Mirijevo,0:07:23.312102
181,46,Beograd Na Vodi,0:07:24
184,88,Novi Železnik,0:07:24.230769
187,58,Novi Železnik,0:15:26.086957
190,56,Zeleni Venac,0:07:24.303797
193,56L,Zeleni Venac,0:48:27.692308
194,27,Mirijevo 3,0:07:24.303797
196,74,Mirijevo 3,0:10:13.636364
200,20,Mirijevo 3,0:21:37.959184
203,56,Petlovo Brdo,0:07:26.202532
204,59,Petlovo Brdo,0:07:30
208,42,Petlovo Brdo,0:12:49.411765
209,E2,Petlovo Brdo,0:13:06.956522
215,501,Petlovo Brdo,0:57:00
217,59,Birčaninova,0:07:30
219,47,Birčaninova,0:08:11.304348
220,39,Birčaninova,0:09:54.495413
223,42,Birčaninova,0:13:11.860465
227,30,Birčaninova,0:18:10
228,402,Birčaninova,0:21:18.260870
229,401,Birčaninova,0:22:10.188679
238,88,Karađorđev Trg,0:07:32.027027
241,33,Kumodraž,0:07:32.980132
243,E9,Kumodraž,0:11:50.270270
245,45,Blok 44,0:07:40.273973
248,82,Blok 44,0:16:59.047619
251,602,Blok 44,0:28:20
254,84,Nova Galenika,0:07:42.162162
257,612,Nova Galenika,0:47:30
260,15,Zeleni Venac,0:07:45.100671
263,68,Zeleni Venac,0:25:38.461538
266,45,Zemun /Novi Grad/,0:07:45.306122
267,15,Zemun /Novi Grad/,0:07:57.551020
272,78,Zemun /Novi Grad/,0:10:54
275,27E,Novi Beograd (Blok 20),0:07:49.565217
278,17,Zemun /Gornji Grad/,0:07:53.154362
281,17,Konjarnik,0:07:55.510204
284,27E,Mirijevo 4,0:07:58.321678
287,79,Mirijevo 4,0:12:36.818182
288,25P,Mirijevo 4,0:15:29.166667
292,E6,Mirijevo 4,0:19:33.913043
296,47,Železnička Stanica Resnik,0:08:11.666667
299,504,Železnička Stanica Resnik,0:19:02.105263
301,503,Železnička Stanica Resnik,0:42:17.500000
304,84,Zeleni Venac,0:08:02.517483
307,65,Novo Bežanijsko Groblje,0:08:15.857143
311,43,Kotež,0:08:27.352941
313,18,Zemun /Bačka/,0:08:24.347826
317,83,Zemun /Bačka/,0:12:00
320,43,Trg Republike,0:08:29.558824
322,65,Zvezdara 2,0:08:27.352941
325,26L,Vojvode Vlahovića (Terminus),0:08:27.731092
328,35,Novi Beograd (Blok 20),0:08:39.047619
331,35,Lešće /Groblje/,0:08:39.685039
334,35L,Lešće /Groblje/,1:06:00
335,9,Blok 45,0:08:52.031250
336,7,Blok 45,0:09:10.781250
341,13,Blok 45,0:12:20
344,11,Blok 45,0:23:33.333333
347,9,Banjica,0:08:54.375000
350,10,Banjica,0:14:17.142857
353,14,Banjica,0:17:30
356,94,Resnik (Edvarda Griga),0:09:13.278689
359,506,Resnik (Edvarda Griga),0:29:35
362,40,Zvezdara,0:09:17.522124
363,28,Zvezdara,0:09:57.435897
369,77,Zvezdara,0:13:56.842105
372,64,Zvezdara,0:38:10.909091
374,7,Ustanička,0:09:26.129032
377,5,Ustanička,0:11:16.530612
380,14,Ustanička,0:17:30
383,6,Ustanička,0:23:26.666667
386,32,Vukov Spomenik,0:09:49.743590
389,66,Vukov Spomenik,0:19:53.333333
393,EKO1,Vukov Spomenik,0:24:05.454545
395,52,Cerak Vinogradi,0:09:54.782609
398,534,Cerak Vinogradi,0:26:49.090909
401,21A,Učiteljsko Naselje,0:10:00
404,52,Zeleni Venac,0:10:10.714286
