,route_short_name,stop_name,service_id,average_wait
0,26,Dorćol /Dunavska/,Zimski-Radni Dan,0:02:35.454545
1,26,Dorćol /Dunavska/,Zimski-Subota,0:03:48
2,26,Dorćol /Dunavska/,Zimski-Nedelja,0:04:25.116279
3,309,Kaluđerica,Zimski-Radni Dan,0:03:06.046512
4,309,Kaluđerica,Zimski-Nedelja,0:04:32.519084
5,309,Kaluđerica,Zimski-Subota,0:04:32.519084
6,16,Karaburma 2,Zimski-Radni Dan,0:03:12.291105
7,16,Karaburma 2,Zimski-Nedelja,0:05:44.057971
8,16,Karaburma 2,Zimski-Subota,0:05:44.057971
9,50,Banovo Brdo,Zimski-Radni Dan,0:03:15.953757
10,50,Banovo Brdo,Zimski-Subota,0:04:15.849057
11,50,Banovo Brdo,Zimski-Nedelja,0:05:30.731707
12,49,Banovo Brdo,Zimski-Radni Dan,0:07:18.297872
13,85,Banovo Brdo,Zimski-Radni Dan,0:08:37.272727
14,49,Banovo Brdo,Zimski-Subota,0:09:31.698113
15,49,Banovo Brdo,Zimski-Nedelja,0:09:31.698113
16,57,Banovo Brdo,Zimski-Radni Dan,0:10:08.823529
17,85,Banovo Brdo,Zimski-Subota,0:10:11.351351
18,85,Banovo Brdo,Zimski-Nedelja,0:11:07.346939
19,57,Banovo Brdo,Zimski-Nedelja,0:19:54.230769
20,57,Banovo Brdo,Zimski-Subota,0:19:54.230769
21,48,Miljakovac 3,Zimski-Radni Dan,0:03:29.627329
22,48,Miljakovac 3,Zimski-Subota,0:05:04.553571
23,48,Miljakovac 3,Zimski-Nedelja,0:05:42.944162
24,37,Kneževac,Zimski-Radni Dan,0:03:35.740741
25,3A,Kneževac,Zimski-Radni Dan,0:05:11.266376
26,37,Kneževac,Zimski-Subota,0:05:27.272727
27,3A,Kneževac,Zimski-Subota,0:06:10.680628
28,3A,Kneževac,Zimski-Nedelja,0:06:10.680628
29,37,Kneževac,Zimski-Nedelja,0:07:11.698113
30,507,Kneževac,Zimski-Radni Dan,0:17:39.677419
31,507,Kneževac,Zimski-Nedelja,0:17:39.677419
32,507,Kneževac,Zimski-Subota,0:17:39.677419
