,route_short_name,stop_name,average_wait
0,26,Dorćol /Dunavska/,0:02:35.454545
3,309,Kaluđerica,0:03:06.046512
6,16,Karaburma 2,0:03:12.291105
9,50,Banovo Brdo,0:03:15.953757
12,49,Banovo Brdo,0:07:18.297872
13,85,Banovo Brdo,0:08:37.272727
16,57,Banovo Brdo,0:10:08.823529
21,48,Miljakovac 3,0:03:29.627329
24,37,Kneževac,0:03:35.740741
25,3A,Kneževac,0:05:11.266376
30,507,Kneževac,0:17:39.677419
33,23,Karaburma 2,0:03:41.052632
36,27,Trg Republike,0:03:42.803738
39,88,Karađorđev Trg,0:03:46.600000
42,15,Karađorđev Trg,0:07:42.162162
44,84,Karađorđev Trg,0:08:02.097902
47,704,Karađorđev Trg,0:12:30.681818
49,707,Karađorđev Trg,0:15:40.563380
54,46,Mirijevo,0:03:47.450980
57,27E,Novi Beograd (Blok 20),0:03:59.136691
60,84,Nova Galenika,0:04:02.482759
63,612,Nova Galenika,0:23:45
66,15,Zemun /Novi Grad/,0:04:02.857143
68,45,Zemun /Novi Grad/,0:04:08.719723
72,78,Zemun /Novi Grad/,0:05:46.969697
75,17,Zemun /Gornji Grad/,0:04:04.505119
79,43,Trg Republike,0:04:14.779412
82,43,Kotež,0:04:24.575646
84,22L,Trg Republike,0:04:22.781955
87,31,Trg Republike,0:05:46.039604
88,41,Trg Republike,0:06:24.827586
93,28,Trg Republike,0:09:43.304348
94,EKO2,Trg Republike,0:10:11.067961
97,E9,Trg Republike,0:11:50.270270
100,22L,Terazije,0:04:22.781955
101,26,Terazije,0:05:07.837838
104,31,Terazije,0:05:46.039604
105,27,Terazije,0:07:24.076433
111,EKO2,Terazije,0:10:11.067961
112,E9,Terazije,0:11:50.270270
114,E2,Terazije,0:13:06.956522
118,22L,Studentski Trg,0:04:22.781955
121,41,Studentski Trg,0:06:24.482759
124,28,Studentski Trg,0:09:43.304348
127,E9,Studentski Trg,0:11:50.270270
128,22L,Trg Slavija,0:04:23.007519
131,31,Trg Slavija,0:05:46.733668
134,EKO2,Trg Slavija,0:10:11.650485
137,22L,Rk Beograđanka,0:04:23.007519
140,31,Rk Beograđanka,0:05:46.039604
143,EKO2,Rk Beograđanka,0:10:11.067961
144,E9,Rk Beograđanka,0:11:50.270270
147,22L,Trg Slavija,0:04:23.007519
150,31,Trg Slavija,0:05:46.039604
